,"G(k_1,k_2)"
"(0,1)",18.31098071415118
"(1,0)",21.83281710995323
"(1,1)",14.575231548843327
"(0,2)",19.638956810587082
"(2,0)",17.874778461357632
"(1,2)",12.976001791705682
"(2,1)",13.869620678905047
"(2,2)",13.182694313173581
"(0,3)",9.999768616178406
"(3,0)",8.383657101098086
"(1,3)",5.95806101295111
"(3,1)",6.474165179508596
"(2,3)",7.77333810218932
"(3,2)",6.2768900369414515
"(3,3)",4.7088561902078325
"(0,4)",7.339601060591439
"(4,0)",5.751040275380371
"(1,4)",2.704286772268849
"(4,1)",3.466260716269931
"(2,4)",4.394614199150704
"(4,2)",2.6240023317233185
"(3,4)",3.8591632176155244
"(4,3)",3.163959058197885
"(4,4)",2.283356602735709
others,0.8220599466794876
