,"G(k_1,k_2)"
"(0,1)",13.304469953836628
"(1,0)",18.93647557137925
"(1,1)",14.089218235491474
"(0,2)",16.37991623403997
"(2,0)",15.88237542433627
"(1,2)",14.480530901099387
"(2,1)",17.17701285868246
"(2,2)",13.307026233309372
"(0,3)",6.849967280426538
"(3,0)",8.234716693970812
"(1,3)",5.774457556113943
"(3,1)",7.26936248336274
"(2,3)",7.498737745207795
"(3,2)",7.779974176394799
"(3,3)",4.391657904975521
"(0,4)",6.9221173949018056
"(4,0)",4.269163442407054
"(1,4)",3.6284421851492277
"(4,1)",4.927919614824727
"(2,4)",5.894850376678273
"(4,2)",4.049941830124171
"(3,4)",3.6506321502763006
"(4,3)",2.9217276670224446
"(4,4)",2.829955321067079
others,0.46159840507149497
